offsetCenter,differenceForward,steeringAngle
0.375,0.0078,0.1
0.374,0.01,0.1
0.398,0.0116,0.1
0.423,0.0136,0.1
0.447,0.0137,0.0
0.471,0.0128,0.1
0.427,0.0047,0.1
0.414,0.0051,0.1
0.402,0.0057,0.1
0.389,0.007,0.1
0.377,0.0081,0.1
0.402,0.0098,0.1
0.426,0.0096,0.0
0.449,0.0087,0.1
0.449,0.0004,0.1
0.435,0.0009,0.1
0.422,0.0014,0.1
0.41,0.0026,0.1
0.398,0.0037,0.1
0.386,0.0053,0.1
0.401,0.0066,0.1
0.425,0.007,0.0
0.46,0.0019,0.1
0.448,0.0022,0.1
0.436,0.0022,0.1
0.424,0.0011,0.1
0.413,0.0002,0.1
0.401,0.0013,0.1
0.39,0.0025,0.1
0.398,0.0041,0.1
0.47,0.0014,0.2
0.458,0.0014,0.1
0.447,0.0033,0.1
0.428,0.0071,0.1
0.419,0.0089,0.1
0.41,0.0105,0.1
0.399,0.011,0.0
0.4,0.0097,0.1
0.471,0.0018,0.1
0.463,0.0018,0.1
0.455,0.0027,0.1
0.446,0.0035,0.1
0.438,0.0051,0.1
0.43,0.0064,0.1
0.421,0.0084,0.1
0.416,0.0101,0.2
0.484,0.005,0.1
0.477,0.007,0.1
0.47,0.0091,0.1
0.464,0.0106,0.1
0.459,0.0125,0.1
0.452,0.0125,0.0
0.446,0.0116,0.1
0.44,0.009,0.0
0.497,0.0008,0.1
0.491,0.0028,0.1
0.484,0.0027,0.1
0.478,0.0025,0.1
0.472,0.0014,0.1
0.465,0.0004,0.1
0.459,0.0012,0.1
0.453,0.0024,0.1
0.499,0.0034,0.1
0.493,0.0013,0.2
0.487,0.002,0.1
0.482,0.0038,0.1
0.477,0.0059,0.1
0.474,0.0075,0.1
0.47,0.0096,0.1
0.468,0.0111,0.1
0.502,0.0042,0.0
0.497,0.002,0.0
0.491,0.0013,0.0
0.488,0.0047,0.1
0.484,0.0064,0.1
0.48,0.0072,0.1
