offsetCenter,vehicle rotation,road rotation,steeringAngle,is_junction
0.447,-179.75628662109375,-179.92672729492188,0.1,True
0.456,-179.75628662109375,-179.92672729492188,0.1,True
0.467,-179.75628662109375,-179.92672729492188,0.1,True
0.478,-179.75628662109375,-179.92672729492188,0.2,True
0.415,-179.75628662109375,-179.92672729492188,0.1,True
0.426,-179.75628662109375,-179.92672729492188,0.1,True
0.436,-179.75628662109375,-179.92672729492188,0.1,True
0.449,-179.75628662109375,-179.92672729492188,0.1,True
0.459,-179.75628662109375,-179.92672729492188,0.1,True
0.471,-179.75628662109375,-179.92672729492188,0.0,True
0.483,-179.75628662109375,-179.92672729492188,0.1,True
0.495,-179.75628662109375,-179.92672729492188,0.0,True
0.42,-179.75628662109375,-179.92672729492188,0.1,True
0.431,-179.75628662109375,-179.92672729492188,0.1,True
0.443,-179.75628662109375,-179.92672729492188,0.1,True
0.454,-179.75628662109375,-179.92672729492188,0.1,True
0.465,-179.75628662109375,-179.92672729492188,0.1,True
0.477,-179.75628662109375,-179.92672729492188,0.1,True
0.488,-179.75628662109375,-179.92672729492188,0.1,True
0.499,-179.75628662109375,-179.92672729492188,0.1,True
0.513,-179.75628662109375,-179.92672729492188,0.2,True
0.425,-179.75628662109375,-179.92672729492188,0.1,True
0.437,-179.75628662109375,-179.92672729492188,0.1,True
0.449,-179.75628662109375,-179.92672729492188,0.1,True
0.463,-179.75628662109375,-179.92672729492188,0.1,True
0.478,-179.75628662109375,-179.92672729492188,0.1,True
0.49,-179.75628662109375,-179.92672729492188,0.1,True
0.503,-179.75628662109375,-179.92672729492188,0.0,True
0.517,-179.75628662109375,-179.92672729492188,0.0,True
0.422,-179.75628662109375,-179.92672729492188,0.1,True
0.437,-179.75628662109375,-179.92672729492188,0.1,True
0.45,-179.75628662109375,-179.92672729492188,0.1,True
0.463,-179.75628662109375,-179.92672729492188,0.1,True
0.476,-179.75628662109375,-179.92672729492188,0.1,True
0.488,-179.75628662109375,-179.92672729492188,0.1,True
0.502,-179.75628662109375,-179.92672729492188,0.1,True
0.519,-179.75628662109375,-179.92672729492188,0.1,True
0.424,-179.75628662109375,-179.92672729492188,0.1,True
0.437,-179.75628662109375,-179.92672729492188,0.1,True
0.454,-179.75628662109375,-179.92672729492188,0.1,True
0.468,-179.75628662109375,-179.92672729492188,0.1,True
0.483,-179.75628662109375,-179.92672729492188,0.1,True
0.499,-179.75628662109375,-179.92672729492188,0.1,True
0.515,-179.75628662109375,-179.92672729492188,0.0,True
0.532,-179.75628662109375,-179.92672729492188,0.1,True
0.414,-179.75628662109375,-179.92672729492188,0.1,True
0.431,-179.75628662109375,-179.92672729492188,0.1,True
0.447,-179.75628662109375,-179.92672729492188,0.1,True
0.463,-179.75628662109375,-179.92672729492188,0.1,True
0.481,-179.75628662109375,-179.92672729492188,0.1,True
0.497,-179.75628662109375,-179.92672729492188,0.1,True
0.514,-179.75628662109375,-179.92672729492188,0.1,True
0.532,-179.75628662109375,-179.92672729492188,0.0,True
0.404,-179.75628662109375,-179.92672729492188,0.1,True
0.422,-179.75628662109375,-179.92672729492188,0.1,True
0.439,-179.75628662109375,-179.92672729492188,0.1,True
0.458,-179.75628662109375,-179.92672729492188,0.1,True
0.476,-179.75628662109375,-179.92672729492188,0.1,True
0.493,-179.75628662109375,-179.92672729492188,0.1,True
0.51,-179.75628662109375,-179.92672729492188,0.1,True
0.526,-179.75628662109375,-179.92672729492188,0.0,True
0.389,-179.75628662109375,-179.92672729492188,0.1,True
0.406,-179.75628662109375,-179.92672729492188,0.1,True
0.424,-179.75628662109375,-179.92672729492188,0.1,True
0.443,-179.75628662109375,-179.92672729492188,0.1,True
0.459,-179.75628662109375,-179.92672729492188,0.1,True
0.481,-179.75628662109375,-179.92672729492188,0.1,True
0.504,-179.75628662109375,-179.92672729492188,0.1,True
0.534,-179.75628662109375,-179.92672729492188,0.2,True
0.389,-179.75628662109375,-179.92672729492188,0.1,True
0.406,-179.75628662109375,-179.92672729492188,0.1,True
0.421,-179.75628662109375,-179.92672729492188,0.1,True
0.443,-179.75628662109375,-179.92672729492188,0.1,True
0.462,-179.75628662109375,-179.92672729492188,0.1,True
0.48,-179.75628662109375,-179.92672729492188,0.0,True
0.502,-179.75628662109375,-179.92672729492188,0.0,True
0.523,-179.75628662109375,-179.92672729492188,0.1,True
0.372,-179.75628662109375,-179.92672729492188,0.1,True
0.393,-179.75628662109375,-179.92672729492188,0.1,True
0.416,-179.75628662109375,-179.92672729492188,0.1,True
0.435,-179.75628662109375,-179.92672729492188,0.1,True
0.451,-179.75628662109375,-179.92672729492188,0.1,True
0.472,-179.75628662109375,-179.92672729492188,0.1,True
0.494,-179.75628662109375,-179.92672729492188,0.1,True
0.518,-179.75628662109375,-179.92672729492188,0.2,True
0.368,-179.75628662109375,-179.92672729492188,0.1,True
0.377,-179.75628662109375,-179.92672729492188,0.1,True
0.399,-179.75628662109375,-179.92672729492188,0.1,True
0.42,-179.75628662109375,-179.92672729492188,0.1,True
0.443,-179.75628662109375,-179.92672729492188,0.1,True
0.466,-179.75628662109375,-179.92672729492188,0.0,True
0.488,-179.75628662109375,-179.92672729492188,0.0,True
0.51,-179.75628662109375,-179.92672729492188,0.1,True
0.388,-179.75628662109375,-179.92672729492188,0.1,True
0.372,-179.75628662109375,-179.92672729492188,0.1,True
0.383,-179.75628662109375,-179.92672729492188,0.1,True
0.405,-179.75628662109375,-179.92672729492188,0.1,True
0.428,-179.75628662109375,-179.92672729492188,0.1,True
0.453,-179.75628662109375,-179.92672729492188,0.1,True
0.473,-179.75628662109375,-179.92672729492188,0.1,True
0.496,-179.75628662109375,-179.92672729492188,0.2,True
0.408,-179.75628662109375,-179.92672729492188,0.1,True
0.391,-179.75628662109375,-179.92672729492188,0.1,True
0.375,-179.75628662109375,-179.92672729492188,0.1,True
0.389,-179.75628662109375,-179.92672729492188,0.1,True
0.411,-179.75628662109375,-179.92672729492188,0.1,True
0.435,-179.75628662109375,-179.92672729492188,0.1,True
0.457,-179.75628662109375,-179.92672729492188,0.0,True
0.48,-179.75628662109375,-179.92672729492188,0.0,True
0.43,-179.75628662109375,-179.92672729492188,0.1,True
0.414,-179.75628662109375,-179.92672729492188,0.1,True
0.399,-179.75628662109375,-179.92672729492188,0.1,True
0.385,-179.75628662109375,-179.92672729492188,0.1,True
0.389,-179.75628662109375,-179.92672729492188,0.1,True
0.412,-179.75628662109375,-179.92672729492188,0.1,True
0.437,-179.75628662109375,-179.92672729492188,0.1,True
0.463,-179.75628662109375,-179.92672729492188,0.0,True
0.443,-179.75628662109375,-179.92672729492188,0.1,True
0.426,-179.75628662109375,-179.92672729492188,0.1,True
0.411,-179.75628662109375,-179.92672729492188,0.1,True
0.397,-179.75628662109375,-179.92672729492188,0.1,True
0.383,-179.75628662109375,-179.92672729492188,0.1,True
0.385,-179.75628662109375,-179.92672729492188,0.1,True
0.411,-179.75628662109375,-179.92672729492188,0.1,True
0.432,-179.75628662109375,-179.92672729492188,0.1,True
0.457,-179.75628662109375,-179.92672729492188,0.2,True
0.436,-179.75628662109375,-179.92672729492188,0.1,True
0.422,-179.75628662109375,-179.92672729492188,0.1,True
0.409,-179.75628662109375,-179.92672729492188,0.1,True
0.396,-179.75628662109375,-179.92672729492188,0.1,True
0.384,-179.75628662109375,-179.92672729492188,0.1,True
0.384,-179.75628662109375,-179.92672729492188,0.1,True
0.41,-179.75628662109375,-179.92672729492188,0.0,True
0.456,-179.75628662109375,-179.92672729492188,0.1,True
0.444,-179.75628662109375,-179.92672729492188,0.1,True
0.431,-179.75628662109375,-179.92672729492188,0.1,True
0.42,-179.75628662109375,-179.92672729492188,0.1,True
0.398,-179.75628662109375,-179.92672729492188,0.1,True
0.387,-179.75628662109375,-179.92672729492188,0.1,True
0.395,-179.75628662109375,-179.92672729492188,0.1,True
0.465,-179.75628662109375,-179.92672729492188,0.2,True
0.452,-179.75628662109375,-179.92672729492188,0.1,True
0.44,-179.75628662109375,-179.92672729492188,0.1,True
0.433,-179.75628662109375,-179.92672729492188,0.1,True
0.425,-179.75628662109375,-179.92672729492188,0.1,True
